Input Name,Best Match,Match Score,Is Match,Match Category
VALUMAR LLC,UMAC LLC,73.6842105263158,False,Partial Match
Hadi Soleimanpour,"DAOUD, Suleiman Cabdi",57.89473684210527,False,Weak Match
Alí Fallahijan,"AZZAM, Mansour Fadlallah",52.63157894736843,False,Weak Match
Ahmad Reza Asghari,"SHIVA'I, Ahmad Asghari",70.0,False,Partial Match
hussein mohamed jomma,"SALAD, Mohamed Hussein",60.46511627906976,False,Partial Match
inbrahin fadi ibrahin,"AL-AZZAWI, Hikmat Mizban Ibrahim",45.28301886792453,False,Weak Match
BARAKAT ALI HASSAN,HARAKAT SHAM AL-ISLAM,66.66666666666667,False,Partial Match
Iullia GILFANOV Iuliia GILFANOVA Yulia GILFANOVA Yuliya Raisovna GILFANOVA,"SARANOVA, Yuliya Vladimirovna",44.66019417475729,False,Weak Match
Aldo SANCHEZ,"VILLA SANCHEZ, Arnoldo",70.58823529411764,False,Partial Match
HUSSEIN AHMAD YOUSSEF,ALPHA HELIOS,54.54545454545454,False,Weak Match
Mechanic Industries Group,"SULEIMAN, Mirghani Idris",44.89795918367348,False,Weak Match
Aleksandar Radovanović,"ALYOKSA, Aleksandr Ivanovich",64.0,False,Partial Match
Berislav Pušić,"OKUKA, Branislav",53.333333333333336,False,Weak Match
Bogdan Grba,"SHABLYA, Bogdan",53.84615384615385,False,Weak Match
Boris Breberina,"MIZULINA, Yelena Borisovna",48.78048780487805,False,Weak Match
Boro Trbojević,"RAPOPORT, Boris Yakovlevich",43.90243902439024,False,Weak Match
Bozo Latinovic,"KOPIN, Roman Valentinovich",50.0,False,Weak Match
Brane Džinić,"DU, Changgen",41.666666666666664,False,Weak Match
Branislav Medan,"OKUKA, Branislav",64.51612903225806,False,Partial Match
Damir Sireta,"VASIC, Dragomir",51.85185185185186,False,Weak Match
Darko Perić,"MRDJA, Darko",52.17391304347826,False,Weak Match
Dragan Borojević,"BASEVIC, Dragan",51.61290322580645,False,Weak Match
Dragan Medić,"JOKIC, Dragan",56.00000000000001,False,Weak Match
Dragan Stanojević,"STANKOVIC, Dragan",47.05882352941176,False,Weak Match
Djuro Kljajic,"BANDO, Haji",41.666666666666664,False,Weak Match
Dusan Kovacevic,"NAREIKO, Ivan Nikolaevich",50.0,False,Weak Match
Eva Radeka,"CESIC, Ranko",45.45454545454546,False,Weak Match
Idhan Sipić,"SAID, Khan",47.61904761904761,False,Weak Match
Ilija Vukelic,"KOZLOV, Ilya Pavlovich",45.714285714285715,False,Weak Match
Ivica Vrdoljak,"RAJIC, Ivica",46.15384615384615,False,Weak Match
Jadranko Palija,"ALI, Halima Adan",51.61290322580645,False,Weak Match
Jovan Dimitrijević,"TUCHKOV, Ivan Dmitriyevich",59.09090909090908,False,Weak Match
Marko Škrobić,"ROSIC, Marko",48.0,False,Weak Match
Milan Devčić,"LUKIC, Milan",50.0,False,Weak Match
Milan Jaric,"LUKIC, Milan",52.17391304347826,False,Weak Match
Milan Ogrizovic,"SHOR, Ilan Mironovich",50.0,False,Weak Match
Mile Ikac,"CICIC, Milenko",52.17391304347826,False,Weak Match
Milenko Trifunović,"THU, Yin Min",46.666666666666664,False,Weak Match
Miloš Radić,"DODIK, Milorad",48.0,False,Weak Match
Miodrag Dimitrijević,"SERGUN, Igor Dmitrievich",54.54545454545454,False,Weak Match
Miodrag Šolaja,"JOKIC, Miodrag",50.0,False,Weak Match
Mirko Pekez,"PENG, Minbo",45.45454545454546,False,Weak Match
Mirko Todorović,"SMIRNOV, Viktor Vladimirovich",45.45454545454546,False,Weak Match
Goran Mugoša,"RI, Man Gon",52.17391304347826,False,Weak Match
Nenad Bizic,"NG, Serena Bee Lin",48.275862068965516,False,Weak Match
Nenad Tanasković,"SKLYAR, Gennadiy Ivanovich",47.61904761904761,False,Weak Match
Nikola Andrun,"RODKIN, Andrei Nikolaevich",56.41025641025641,False,Weak Match
Nikola Golubovic,"BRYKIN, Nikolay Gavrilovich",60.46511627906976,False,Partial Match
Nikola Jovetic,"TSED, Nikolay Grigorevich",56.41025641025641,False,Weak Match
Nikola Stakor,"PESKOV, Nikolay",57.14285714285714,False,Weak Match
Nikola Vukelic,"PANKOV, Nikolay",55.172413793103445,False,Weak Match
Paško Ljubičić,"ECIM, Ljuban",38.46153846153846,False,Weak Match
Petar Mitrovic,"FRADKOV, Petr Mikhailovich",55.00000000000001,False,Weak Match
Rade Vranesevic,"KULIK, Vadim Valerievich",51.28205128205128,False,Weak Match
Radisav Josipović,"REZNIK, Vladislav Matusovich",53.333333333333336,False,Weak Match
Radivoj Jakovljevic,"VOROBYEV, Vadim Nikolaevich",52.17391304347826,False,Weak Match
Radivoje Miletić,"FLOROV, Aleksei Vadimovich",42.85714285714286,False,Weak Match
Radovan Vlajković,"VISKOVIC, Radovan",52.94117647058824,False,Weak Match
Ranko Mirilovic,"ANTONOV, Yakov Mikhailovich",57.14285714285714,False,Weak Match
Saša Stojanović,"SOPTA, Stanko",50.0,False,Weak Match
Simo Samardzija,"SIMONYAN, Margarita Simonovna",45.45454545454546,False,Weak Match
